row,column,row_win_probability,samples
claudecode / claude-opus-4-6 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / xhigh,1.000000,9
claudecode / claude-opus-4-6 / xhigh,opencode / fireworks-ai/qwen3.8-27b / xhigh,1.000000,9
claudecode / claude-opus-4-8 / xhigh,claudecode / claude-fable-5 / xhigh,1.000000,6
claudecode / claude-opus-4-8 / xhigh,claudecode / claude-opus-4-6 / xhigh,0.333333,6
claudecode / claude-opus-4-8 / xhigh,claudecode / claude-opus-5 / xhigh,1.000000,6
claudecode / claude-opus-4-8 / xhigh,claudecode / claude-sonnet-5 / xhigh,0.500000,6
claudecode / claude-opus-4-8 / xhigh,codex / gpt-5.5 / xhigh,1.000000,6
claudecode / claude-opus-4-8 / xhigh,codex / gpt-5.6-luna / xhigh,1.000000,6
claudecode / claude-opus-4-8 / xhigh,codex / gpt-5.6-sol / xhigh,0.500000,6
claudecode / claude-opus-4-8 / xhigh,codex / gpt-5.6-terra / xhigh,1.000000,6
claudecode / claude-opus-4-8 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-flash-0731 / xhigh,1.000000,6
claudecode / claude-opus-4-8 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-pro-0813 / xhigh,0.666667,6
claudecode / claude-opus-4-8 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / max,1.000000,6
claudecode / claude-opus-4-8 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / xhigh,1.000000,6
claudecode / claude-opus-4-8 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / max,1.000000,6
claudecode / claude-opus-4-8 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / xhigh,1.000000,6
claudecode / claude-opus-4-8 / xhigh,opencode / fireworks-ai/qwen3.8-27b / xhigh,1.000000,6
claudecode / claude-opus-5 / xhigh,claudecode / claude-fable-5 / xhigh,0.444444,9
claudecode / claude-opus-5 / xhigh,claudecode / claude-opus-4-6 / xhigh,0.000000,9
claudecode / claude-opus-5 / xhigh,claudecode / claude-opus-4-8 / xhigh,0.000000,6
claudecode / claude-opus-5 / xhigh,claudecode / claude-sonnet-5 / xhigh,0.333333,9
claudecode / claude-opus-5 / xhigh,codex / gpt-5.5 / xhigh,1.000000,9
claudecode / claude-opus-5 / xhigh,codex / gpt-5.6-luna / xhigh,1.000000,9
claudecode / claude-opus-5 / xhigh,codex / gpt-5.6-sol / xhigh,0.000000,9
claudecode / claude-opus-5 / xhigh,codex / gpt-5.6-terra / xhigh,1.000000,9
claudecode / claude-opus-5 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-flash-0731 / xhigh,1.000000,9
claudecode / claude-opus-5 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-pro-0813 / xhigh,0.666667,9
claudecode / claude-opus-5 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / max,0.333333,9
claudecode / claude-opus-5 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / xhigh,1.000000,9
claudecode / claude-opus-5 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / max,0.333333,9
claudecode / claude-opus-5 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / xhigh,0.888889,9
claudecode / claude-opus-5 / xhigh,opencode / fireworks-ai/qwen3.8-27b / xhigh,1.000000,9
claudecode / claude-sonnet-5 / xhigh,claudecode / claude-fable-5 / xhigh,0.666667,9
claudecode / claude-sonnet-5 / xhigh,claudecode / claude-opus-4-6 / xhigh,0.444444,9
claudecode / claude-sonnet-5 / xhigh,claudecode / claude-opus-4-8 / xhigh,0.500000,6
claudecode / claude-sonnet-5 / xhigh,claudecode / claude-opus-5 / xhigh,0.666667,9
claudecode / claude-sonnet-5 / xhigh,codex / gpt-5.5 / xhigh,0.833333,9
claudecode / claude-sonnet-5 / xhigh,codex / gpt-5.6-luna / xhigh,0.833333,9
claudecode / claude-sonnet-5 / xhigh,codex / gpt-5.6-sol / xhigh,0.666667,9
claudecode / claude-sonnet-5 / xhigh,codex / gpt-5.6-terra / xhigh,0.833333,9
claudecode / claude-sonnet-5 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-flash-0731 / xhigh,0.777778,9
claudecode / claude-sonnet-5 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-pro-0813 / xhigh,0.555556,9
claudecode / claude-sonnet-5 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / max,0.722222,9
claudecode / claude-sonnet-5 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / xhigh,0.833333,9
claudecode / claude-sonnet-5 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / max,0.722222,9
claudecode / claude-sonnet-5 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / xhigh,0.777778,9
claudecode / claude-sonnet-5 / xhigh,opencode / fireworks-ai/qwen3.8-27b / xhigh,0.833333,9
codex / gpt-5.5 / xhigh,claudecode / claude-fable-5 / xhigh,0.000000,9
codex / gpt-5.5 / xhigh,claudecode / claude-opus-4-6 / xhigh,0.000000,9
codex / gpt-5.5 / xhigh,claudecode / claude-opus-4-8 / xhigh,0.000000,6
codex / gpt-5.5 / xhigh,claudecode / claude-opus-5 / xhigh,0.000000,9
codex / gpt-5.5 / xhigh,claudecode / claude-sonnet-5 / xhigh,0.166667,9
codex / gpt-5.5 / xhigh,codex / gpt-5.6-luna / xhigh,0.500000,9
codex / gpt-5.5 / xhigh,codex / gpt-5.6-sol / xhigh,0.000000,9
codex / gpt-5.5 / xhigh,codex / gpt-5.6-terra / xhigh,0.500000,9
codex / gpt-5.5 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-flash-0731 / xhigh,0.333333,9
codex / gpt-5.5 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-pro-0813 / xhigh,0.333333,9
codex / gpt-5.5 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / max,0.166667,9
codex / gpt-5.5 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / xhigh,0.500000,9
codex / gpt-5.5 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / max,0.166667,9
codex / gpt-5.5 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / xhigh,0.333333,9
codex / gpt-5.5 / xhigh,opencode / fireworks-ai/qwen3.8-27b / xhigh,0.500000,9
codex / gpt-5.6-luna / xhigh,claudecode / claude-fable-5 / xhigh,0.000000,9
codex / gpt-5.6-luna / xhigh,claudecode / claude-opus-4-6 / xhigh,0.000000,9
codex / gpt-5.6-luna / xhigh,claudecode / claude-opus-4-8 / xhigh,0.000000,6
codex / gpt-5.6-luna / xhigh,claudecode / claude-opus-5 / xhigh,0.000000,9
codex / gpt-5.6-luna / xhigh,claudecode / claude-sonnet-5 / xhigh,0.166667,9
codex / gpt-5.6-luna / xhigh,codex / gpt-5.5 / xhigh,0.500000,9
codex / gpt-5.6-luna / xhigh,codex / gpt-5.6-sol / xhigh,0.000000,9
codex / gpt-5.6-luna / xhigh,codex / gpt-5.6-terra / xhigh,0.500000,9
codex / gpt-5.6-luna / xhigh,opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-flash-0731 / xhigh,0.333333,9
codex / gpt-5.6-luna / xhigh,opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-pro-0813 / xhigh,0.333333,9
codex / gpt-5.6-luna / xhigh,opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / max,0.166667,9
codex / gpt-5.6-luna / xhigh,opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / xhigh,0.500000,9
codex / gpt-5.6-luna / xhigh,opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / max,0.166667,9
codex / gpt-5.6-luna / xhigh,opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / xhigh,0.333333,9
codex / gpt-5.6-luna / xhigh,opencode / fireworks-ai/qwen3.8-27b / xhigh,0.500000,9
codex / gpt-5.6-sol / xhigh,claudecode / claude-fable-5 / xhigh,1.000000,9
codex / gpt-5.6-sol / xhigh,claudecode / claude-opus-4-6 / xhigh,0.000000,9
codex / gpt-5.6-sol / xhigh,claudecode / claude-opus-4-8 / xhigh,0.500000,6
codex / gpt-5.6-sol / xhigh,claudecode / claude-opus-5 / xhigh,1.000000,9
codex / gpt-5.6-sol / xhigh,claudecode / claude-sonnet-5 / xhigh,0.333333,9
codex / gpt-5.6-sol / xhigh,codex / gpt-5.5 / xhigh,1.000000,9
codex / gpt-5.6-sol / xhigh,codex / gpt-5.6-luna / xhigh,1.000000,9
codex / gpt-5.6-sol / xhigh,codex / gpt-5.6-terra / xhigh,1.000000,9
codex / gpt-5.6-sol / xhigh,opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-flash-0731 / xhigh,1.000000,9
codex / gpt-5.6-sol / xhigh,opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-pro-0813 / xhigh,0.666667,9
codex / gpt-5.6-sol / xhigh,opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / max,1.000000,9
codex / gpt-5.6-sol / xhigh,opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / xhigh,1.000000,9
codex / gpt-5.6-sol / xhigh,opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / max,1.000000,9
codex / gpt-5.6-sol / xhigh,opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / xhigh,1.000000,9
codex / gpt-5.6-sol / xhigh,opencode / fireworks-ai/qwen3.8-27b / xhigh,1.000000,9
codex / gpt-5.6-terra / xhigh,claudecode / claude-fable-5 / xhigh,0.000000,9
codex / gpt-5.6-terra / xhigh,claudecode / claude-opus-4-6 / xhigh,0.000000,9
codex / gpt-5.6-terra / xhigh,claudecode / claude-opus-4-8 / xhigh,0.000000,6
codex / gpt-5.6-terra / xhigh,claudecode / claude-opus-5 / xhigh,0.000000,9
codex / gpt-5.6-terra / xhigh,claudecode / claude-sonnet-5 / xhigh,0.166667,9
codex / gpt-5.6-terra / xhigh,codex / gpt-5.5 / xhigh,0.500000,9
codex / gpt-5.6-terra / xhigh,codex / gpt-5.6-luna / xhigh,0.500000,9
codex / gpt-5.6-terra / xhigh,codex / gpt-5.6-sol / xhigh,0.000000,9
codex / gpt-5.6-terra / xhigh,opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-flash-0731 / xhigh,0.333333,9
codex / gpt-5.6-terra / xhigh,opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-pro-0813 / xhigh,0.333333,9
codex / gpt-5.6-terra / xhigh,opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / max,0.166667,9
codex / gpt-5.6-terra / xhigh,opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / xhigh,0.500000,9
codex / gpt-5.6-terra / xhigh,opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / max,0.166667,9
codex / gpt-5.6-terra / xhigh,opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / xhigh,0.333333,9
codex / gpt-5.6-terra / xhigh,opencode / fireworks-ai/qwen3.8-27b / xhigh,0.500000,9
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-flash-0731 / xhigh,claudecode / claude-fable-5 / xhigh,0.000000,9
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-flash-0731 / xhigh,claudecode / claude-opus-4-6 / xhigh,0.000000,9
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-flash-0731 / xhigh,claudecode / claude-opus-4-8 / xhigh,0.000000,6
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-flash-0731 / xhigh,claudecode / claude-opus-5 / xhigh,0.000000,9
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-flash-0731 / xhigh,claudecode / claude-sonnet-5 / xhigh,0.222222,9
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-flash-0731 / xhigh,codex / gpt-5.5 / xhigh,0.666667,9
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-flash-0731 / xhigh,codex / gpt-5.6-luna / xhigh,0.666667,9
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-flash-0731 / xhigh,codex / gpt-5.6-sol / xhigh,0.000000,9
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-flash-0731 / xhigh,codex / gpt-5.6-terra / xhigh,0.666667,9
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-flash-0731 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-pro-0813 / xhigh,0.444444,9
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-flash-0731 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / max,0.222222,9
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-flash-0731 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / xhigh,0.666667,9
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-flash-0731 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / max,0.222222,9
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-flash-0731 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / xhigh,0.444444,9
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-flash-0731 / xhigh,opencode / fireworks-ai/qwen3.8-27b / xhigh,0.666667,9
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-pro-0813 / xhigh,claudecode / claude-fable-5 / xhigh,0.333333,9
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-pro-0813 / xhigh,claudecode / claude-opus-4-6 / xhigh,0.333333,9
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-pro-0813 / xhigh,claudecode / claude-opus-4-8 / xhigh,0.333333,6
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-pro-0813 / xhigh,claudecode / claude-opus-5 / xhigh,0.333333,9
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-pro-0813 / xhigh,claudecode / claude-sonnet-5 / xhigh,0.444444,9
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-pro-0813 / xhigh,codex / gpt-5.5 / xhigh,0.666667,9
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-pro-0813 / xhigh,codex / gpt-5.6-luna / xhigh,0.666667,9
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-pro-0813 / xhigh,codex / gpt-5.6-sol / xhigh,0.333333,9
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-pro-0813 / xhigh,codex / gpt-5.6-terra / xhigh,0.666667,9
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-pro-0813 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-flash-0731 / xhigh,0.555556,9
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-pro-0813 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / max,0.444444,9
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-pro-0813 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / xhigh,0.666667,9
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-pro-0813 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / max,0.444444,9
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-pro-0813 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / xhigh,0.555556,9
opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-pro-0813 / xhigh,opencode / fireworks-ai/qwen3.8-27b / xhigh,0.666667,9
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / max,claudecode / claude-fable-5 / xhigh,0.666667,9
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / max,claudecode / claude-opus-4-6 / xhigh,0.000000,9
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / max,claudecode / claude-opus-4-8 / xhigh,0.000000,6
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / max,claudecode / claude-opus-5 / xhigh,0.666667,9
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / max,claudecode / claude-sonnet-5 / xhigh,0.277778,9
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / max,codex / gpt-5.5 / xhigh,0.833333,9
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / max,codex / gpt-5.6-luna / xhigh,0.833333,9
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / max,codex / gpt-5.6-sol / xhigh,0.000000,9
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / max,codex / gpt-5.6-terra / xhigh,0.833333,9
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / max,opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-flash-0731 / xhigh,0.777778,9
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / max,opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-pro-0813 / xhigh,0.555556,9
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / max,opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / xhigh,0.833333,9
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / max,opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / max,0.500000,9
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / max,opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / xhigh,0.777778,9
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / max,opencode / fireworks-ai/qwen3.8-27b / xhigh,0.833333,9
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / xhigh,claudecode / claude-fable-5 / xhigh,0.000000,9
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / xhigh,claudecode / claude-opus-4-6 / xhigh,0.000000,9
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / xhigh,claudecode / claude-opus-4-8 / xhigh,0.000000,6
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / xhigh,claudecode / claude-opus-5 / xhigh,0.000000,9
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / xhigh,claudecode / claude-sonnet-5 / xhigh,0.166667,9
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / xhigh,codex / gpt-5.5 / xhigh,0.500000,9
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / xhigh,codex / gpt-5.6-luna / xhigh,0.500000,9
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / xhigh,codex / gpt-5.6-sol / xhigh,0.000000,9
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / xhigh,codex / gpt-5.6-terra / xhigh,0.500000,9
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-flash-0731 / xhigh,0.333333,9
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-pro-0813 / xhigh,0.333333,9
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / max,0.166667,9
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / max,0.166667,9
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / xhigh,0.333333,9
opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / xhigh,opencode / fireworks-ai/qwen3.8-27b / xhigh,0.500000,9
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / max,claudecode / claude-fable-5 / xhigh,0.666667,9
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / max,claudecode / claude-opus-4-6 / xhigh,0.000000,9
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / max,claudecode / claude-opus-4-8 / xhigh,0.000000,6
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / max,claudecode / claude-opus-5 / xhigh,0.666667,9
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / max,claudecode / claude-sonnet-5 / xhigh,0.277778,9
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / max,codex / gpt-5.5 / xhigh,0.833333,9
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / max,codex / gpt-5.6-luna / xhigh,0.833333,9
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / max,codex / gpt-5.6-sol / xhigh,0.000000,9
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / max,codex / gpt-5.6-terra / xhigh,0.833333,9
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / max,opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-flash-0731 / xhigh,0.777778,9
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / max,opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-pro-0813 / xhigh,0.555556,9
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / max,opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / max,0.500000,9
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / max,opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / xhigh,0.833333,9
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / max,opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / xhigh,0.777778,9
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / max,opencode / fireworks-ai/qwen3.8-27b / xhigh,0.833333,9
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / xhigh,claudecode / claude-fable-5 / xhigh,0.111111,9
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / xhigh,claudecode / claude-opus-4-6 / xhigh,0.000000,9
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / xhigh,claudecode / claude-opus-4-8 / xhigh,0.000000,6
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / xhigh,claudecode / claude-opus-5 / xhigh,0.111111,9
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / xhigh,claudecode / claude-sonnet-5 / xhigh,0.222222,9
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / xhigh,codex / gpt-5.5 / xhigh,0.666667,9
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / xhigh,codex / gpt-5.6-luna / xhigh,0.666667,9
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / xhigh,codex / gpt-5.6-sol / xhigh,0.000000,9
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / xhigh,codex / gpt-5.6-terra / xhigh,0.666667,9
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / xhigh,opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-flash-0731 / xhigh,0.555556,9
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / xhigh,opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-pro-0813 / xhigh,0.444444,9
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / xhigh,opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / max,0.222222,9
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / xhigh,opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / xhigh,0.666667,9
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / xhigh,opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / max,0.222222,9
opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / xhigh,opencode / fireworks-ai/qwen3.8-27b / xhigh,0.666667,9
opencode / fireworks-ai/qwen3.8-27b / xhigh,claudecode / claude-fable-5 / xhigh,0.000000,9
opencode / fireworks-ai/qwen3.8-27b / xhigh,claudecode / claude-opus-4-6 / xhigh,0.000000,9
opencode / fireworks-ai/qwen3.8-27b / xhigh,claudecode / claude-opus-4-8 / xhigh,0.000000,6
opencode / fireworks-ai/qwen3.8-27b / xhigh,claudecode / claude-opus-5 / xhigh,0.000000,9
opencode / fireworks-ai/qwen3.8-27b / xhigh,claudecode / claude-sonnet-5 / xhigh,0.166667,9
opencode / fireworks-ai/qwen3.8-27b / xhigh,codex / gpt-5.5 / xhigh,0.500000,9
